/* DATA DESCRIPTION:
Citation:	GTN-P (2015): Global Terrestrial Network for Permafrost metadata for permafrost boreholes (TSP). doi:10.1594/PANGAEA.842820, 
	In Supplement to: Biskaborn, Boris Kolumban; Lanckman, Jean-Pierre; Lantuit, Hugues; Elger, Kirsten; Streletskiy, Dmitry A; Cable, William L; Romanovsky, Vladimir E (2015): The new database of the Global Terrestrial Network for Permafrost (GTN-P). Earth System Science Data, 7(2), 245-259, doi:10.5194/essd-7-245-2015
Project(s):	Changing Permafrost in the Arctic and its Global Effects in the 21st Century (PAGE21) (URI: http://www.page21.eu)
	Global Terrestrial Network for Permafrost (GTN-P) (URI: http://gtnp.arcticportal.org)
Coverage:	MEDIAN LATITUDE: 53.120709 * MEDIAN LONGITUDE: -8.957127 * SOUTH-BOUND LATITUDE: -77.851600 * WEST-BOUND LONGITUDE: -170.498000 * NORTH-BOUND LATITUDE: 82.500000 * EAST-BOUND LONGITUDE: 171.944700
	MINIMUM ELEVATION: -20.0 m * MAXIMUM ELEVATION: 5069.0 m
Parameter(s):	Identification (ID) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: Borehole ID
	Name (Name) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: of borehole
	Permafrost Zone (Permafrost Zone) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348)
	Country (Country) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348)
	Latitude of event (Latitude)
	Longitude of event (Longitude)
	Borehole depth [m] (BHD) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348)
	Vegetation type (Vegetation type) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * METHOD: Visual description * COMMENT: raw
	Vegetation type (Vegetation type) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: standardized
	Slope [deg] (Slope) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: standardized
	Aspect [deg] (Aspect) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: standardized
	Slope [deg] (Slope) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * METHOD: Calculated with Digital Elevation Model (DEM)
	Aspect [deg] (Aspect) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * METHOD: Calculated with Digital Elevation Model (DEM)
	Comment (Comment) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: Possible source of heat distrurbance at site 1
	Comment (Comment) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: Possible source of heat distrurbance at site 2
	Accessibility (Accessibility) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: of site
	Completeness [%] (Completeness) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: of filled in metadata fields
	Principle investigator (PI) * PI: Biskaborn, Boris Kolumban (ORCID: 0000-0003-2378-0348) * COMMENT: Name and e-mail of the responsible person
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	11360 data points
*/
ID	Name	Permafrost Zone	Country	Latitude	Longitude	BHD [m]	Vegetation type (Visual description)	Vegetation type (standardized)	Slope [deg] (standardized)	Aspect [deg] (standardized)	Slope [deg] (Calculated with Digital Eleva...)	Aspect [deg] (Calculated with Digital Eleva...)	Comment (Possible source of heat distr...)	Comment (Possible source of heat distr...)	Accessibility	Completeness [%]	PI
25	Storflaket 1	Discontinuous	Sweden	68.3491	18.9734	7.00	Peat mire	Shrub Tundra	0.0		2.3	247.3	Stream	Road	Road	88	Margareta Johansson (margareta.johansson@nateko.lu.se)
26	Tavvavuoma 3	Isolated Patches	Sweden	68.4623	20.9018	2.00		Shrub Tundra	0.0		1.0	63.2	Lake		By foot and boat, or helicopter in the summer. By snowmobile in the winter.	71	Britta Sannel (britta.sannel@natgeo.su.se)
27	Barrow 1 (N.Meadow Lake 1 NM1)	Continuous	United States	71.3105	-156.6541	45.00	Tundra	Tundra	0.0		0.8	112.4	Lake		Walk	76	Vladimir E. Romanowsky (veromanovsky@alaska.edu)
30	Barrow 2 surface	Continuous	United States	71.3220	-156.6487	1.00		Tundra			0.0	-1.0				35	Vladimir E. Romanowsky (veromanovsky@alaska.edu)
32	Vorkuta 8C	Discontinuous	Russia	67.3937	63.3659	19.00		Shrub Tundra			2.0	348.3				45	Naum G. Oberman (oberman@mireko.ru)
33	Barrow 2 (N Meadow Lake 2 NM2)	Continuous	United States	71.3090	-156.6615	48.00	Tundra	Tundra	0.0		0.0	-1.0	Lake		Walk	80	Vladimir E. Romanowsky (veromanovsky@alaska.edu)
34	Nadym 11_75	Discontinuous	Russia	65.3033	72.8592	10.00	Shrub Tundra	Shrub Tundra	0.0		0.5	224.7	anthropogenic: lichen cover has burned down in 1971		Road	80	Natalia Moskalenko (nat-moskalenko@hotmail.com)
43	ZC 1 Zackenberg	Continuous	Greenland	74.4689	-20.4889	3.30		Tundra			3.3	217.6				38	Hanne Hvidtfeldt Christiansen (hanne.christiansen@unis.no)
44	SIS2007-06a	Discontinuous	Greenland	66.9361	-53.6447	20.50		Tundra	0.0		4.9	44.4	Anthropogenic: In the summer of 2009, a heated drinkingwater distribution pipe was constructed and buried approximately 20 m from borehole site	Lake	Paved road	78	Thomas Ingeman-Nielsen (tin@byg.dtu.dk)
45	MBP_0296	Discontinuous	Switzerland	46.4959	9.9315	18.00	None	No Vegetation					Avalanche defense structures		Helicopter or on foot (1.5 hrs)	76	Marcia Phillips (phillips@slf.ch)
46	Kursflaket 2 PYRN	Discontinuous	Sweden	68.3510	18.8720	13.00	Peat mire	Shrub Tundra			4.3	211.3	Stream	Gravel road	Road	78	Margareta Johansson (margareta.johansson@nateko.lu.se)
47	Tavvavuoma 12	Discontinuous	Sweden	68.4102	20.6836	6.00		Shrub Tundra			2.3	33.1				35	Peter Kuhry (peter.kuhry@natgeo.su.se)
48	Tiksi	Continuous	Russia	71.5823	128.9114	30.00		Tundra			0.0	-1.0				38	Alexander L. Kholodov (akholodov@gi.alaska.edu)
49	Bykovsky Peninsula 3_03	Continuous	Russia	71.7809	129.3989	25.00		Tundra			1.2	172.9				40	Alexander L. Kholodov (akholodov@gi.alaska.edu)
50	Cape Mamonyov Klyk	Continuous	Russia	73.6034	117.1588	60.80		Tundra			4.4	101.6				35	Paul Overduin (Paul.Overduin@awi.de)
51	Kurunagh	Continuous	Russia	72.3216	126.1933	4.00		Tundra			0.4	175.0				35	Julia Boike (Julia.Boike@awi.de)
52	Sardagh	Continuous	Russia	72.3202	127.2415	101.00		Tundra			1.7	169.7				35	Paul Overduin (Paul.Overduin@awi.de)
53	Samoylov	Continuous	Russia	72.3696	126.4751	27.00		Tundra			1.2	149.3				38	Julia Boike (Julia.Boike@awi.de)
54	Azarova-1	Continuous	Russia	56.9018	117.5842	1.00	Alpine tundra	Tundra							Offroad vehicle	73	Dmitry Sergueev (sergeevdo@gmail.com)
